code,first_subject,second_subject,univers
5B060700,Биология,Химия,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Карагандинский государственный медицинский университет (КГМУ)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)']"
5B011300,Биология,Химия,"['Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Костанайский государственный педагогический институт (КГПУ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)']"
5B070100,Биология,Химия,"['Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский национальный аграрный университет (КазНАУ)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Алматинский технологический университет (АТУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Инновационный Евразийский университет (ИнЕУ)', 'Казахский университет технологии и бизнеса (КазУТБ)']"
5B120100,Биология,Химия,"['Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Казахский национальный аграрный университет (КазНАУ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)']"
5B120200,Биология,Химия,"['Казахский национальный аграрный университет (КазНАУ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)']"
5B080500,Математика,Физика,"['Казахский национальный аграрный университет (КазНАУ)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)']"
5B040300,Творческий экзамен,Творческий экзамен,"['Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)']"
5B020900,Иностранный язык,Всемирная история,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)']"
5B070400,Математика,Физика,"['Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Карагандинский государственный технический университет (КарГТУ)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Финансовая академия (Финансовая академия)', 'Алматинский университет энергетики и связи (АУЭС)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Алматинский технологический университет (АТУ)', 'Казахский университет экономики, финансов и международной торговли (КазУЭФМТ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Казахский национальный аграрный университет (КазНАУ)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Карагандинский государственный индустриальный университет (КГИУ)', 'Университет «Туран» (Туран)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Атырауский университет нефти и газа (АУНГ)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Университет «Нархоз» (Университет Нархоз)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахская академия транспорта и коммуникаций имени М. Тынышпаева (КазАТК им. Тынышпаева)', 'Казахская академия труда и социальных отношений (КазАТиСО)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Университет «Туран—Астана» (Туран-Астана)']"
5B060900,География,Математика,"['Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Инновационный Евразийский университет (ИнЕУ)']"
5B011600,Биология,География,"['Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Костанайский государственный педагогический институт (КГПУ)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)']"
5B012900,Биология,География,"['Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)']"
