code,first_subject,second_subject,univers
5B040200,Творческий экзамен,Творческий экзамен,"['Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)']"
5B060200,Математика,Физика,"['Карагандинский государственный технический университет (КарГТУ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Алматинский университет энергетики и связи (АУЭС)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Инновационный Евразийский университет (ИнЕУ)', 'Казахстанский инженерно-технологический университет (КазИТУ)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)']"
5B011100,Математика,Физика,"['Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Таразский государственный педагогический университет (ТарГПИ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Костанайский государственный педагогический институт (КГПУ)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Екибастузский инженерно-технический институт имени академика К.Сатпаева (ЭИТИ)', 'Кокшетауский университет имени А. Мырзахметова (КУАМ)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Южно-Казахстанский педагогический университет (ЮКПУ)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)']"
5B070300,Математика,Физика,"['Карагандинский государственный технический университет (КарГТУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Алматинский технологический университет (АТУ)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахстанско-Американский свободный университет (KAFU (КАСУ))', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Инновационный Евразийский университет (ИнЕУ)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Университет «Туран» (Туран)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Казахский университет экономики, финансов и международной торговли (КазУЭФМТ)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Университет международного бизнеса (УМБ (UIB))', 'Алматинский университет энергетики и связи (АУЭС)', 'Карагандинский экономический университет Казпотребсоюза (КЭУ Казпотребсоюза)', 'Рудненский индустриальный институт (РИИ)', 'Университет «Нархоз» (Университет Нархоз)', 'Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахско-Русский международный университет (КРМУ)', 'Кокшетауский университет имени А. Мырзахметова (КУАМ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Университет «Туран—Астана» (Туран-Астана)', 'Алматы Менеджмент Университет (AlmaU)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Казахская академия транспорта и коммуникаций имени М. Тынышпаева (КазАТК им. Тынышпаева)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Казахский национальный аграрный университет (КазНАУ)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова (КГУТИ им. Ш. Есенова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Казахстанско-Немецкий университет (КНУ (DKU))']"
5B021500,Творческий экзамен,Творческий экзамен,['Египетский университет исламской культуры «Нур—Мубарак» (ЕУИК «Нур Мубарак»)']
5B020300,Всемирная история,География,"['Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)']"
5B011400,Всемирная история,География,"['Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Костанайский государственный педагогический институт (КГПУ)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)']"
5B013000,Биология,География,['Южно-Казахстанский государственный педагогический институт (ЮКГПИ)']
5B090700,Биология,География,"['Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Казахский национальный аграрный университет (КазНАУ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)']"
5B011700,Казахский язык,Казахская литература,"['Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Евразийский гуманитарный институт (ЕАГИ)', 'Актюбинский университет имени С. Баишева (АУ им. Баишева)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Западно-Казахстанский инновационно-технологический университет (ЗКИТУ)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Казахский гуманитарно-юридический инновационный университет (КазГЮИУ)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Костанайский государственный педагогический институт (КГПУ)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Костанайский социально-технический университет имени З.Алдамжара (КСТУ)', 'Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова (КГУТИ им. Ш. Есенова)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)']"
5B012100,Казахский язык,Казахская литература,"['Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Костанайский государственный педагогический институт (КГПУ)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)']"
5B074600,Математика,Физика,"['Алматинский университет энергетики и связи (АУЭС)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)']"
5B090600,Творческий экзамен,Творческий экзамен,"['Кокшетауский университет имени А. Мырзахметова (КУАМ)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)']"
5B020400,Иностранный язык,Всемирная История,"['Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)']"
5B080700,Биология,География,"['Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Казахский национальный аграрный университет (КазНАУ)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)']"
5B074300,Математика,Физика,['Академия гражданской авиации (АГА)']
5B090900,Математика,География,"['Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Казахский национальный аграрный университет (КазНАУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Казахская академия транспорта и коммуникаций имени М. Тынышпаева (КазАТК им. Тынышпаева)', 'Алматы Менеджмент Университет (AlmaU)', 'Университет «Туран» (Туран)', 'Университет международного бизнеса (УМБ (UIB))', 'Казахстанско-Немецкий университет (КНУ (DKU))']"
5B051100,Математика,География,"['Университет «Нархоз» (Университет Нархоз)', 'Университет международного бизнеса (УМБ (UIB))', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Алматы Менеджмент Университет (AlmaU)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский университет международных отношений и мировых языков имени Абылай хана (КазУМОиМЯ им. Абылай хана)', 'Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)', 'Казахстанско-Немецкий университет (КНУ (DKU))']"
5B060100,Математика,Физика,"['Костанайский государственный университет имени А. Байтурсынова (КГУ им. Байтурсынова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Инновационный Евразийский университет (ИнЕУ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)']"
5B010900,Математика,Физика,"['Казахский государственный женский педагогический университет (КазГосЖенПУ (ЖенПИ))', 'Казахский национальный педагогический университет имени Абая (КазНПУ)', 'Западно-Казахстанский государственный университет имени М. Утемисова (ЗКГУ им. М. Утемисова)', 'Южно-Казахстанский государственный педагогический институт (ЮКГПИ)', 'Таразский государственный педагогический университет (ТарГПИ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Аркалыкский государственный педагогический институт имени И. Алтынсарина (АркГПИ им. Алтынсарина)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Атырауский государственный университет имени Х. Досмухамедова (АтГУ им. Досмухамедова)', 'Павлодарский государственный педагогический институт (ПГПУ)', 'Костанайский государственный педагогический институт (КГПУ)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Жетысуский государственный университет имени И. Жансугурова (ЖГУ им. Жансугурова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Международный казахско-турецкий университет имени Х. А. Яссави (МКТУ им. Яссави)']"
5B012700,Биология,География,['Южно-Казахстанский государственный педагогический институт (ЮКГПИ)']
5B012600,Биология,География,['Южно-Казахстанский государственный педагогический институт (ЮКГПИ)']
5B070500,Математика,Физика,"['Карагандинский государственный университет имени Е. А. Букетова (КарГУ им. Букетова)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)']"
5B071000,Математика,Физика,"['Карагандинский государственный технический университет (КарГТУ)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)', 'Атырауский университет нефти и газа (АУНГ)', 'Карагандинский государственный индустриальный университет (КГИУ)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)']"
5B071200,Математика,Физика,"['Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)', 'Северо-Казахстанский государственный университет имени М. Козыбаева (СКГУ им. Козыбаева)', 'Карагандинский государственный индустриальный университет (КГИУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Карагандинский государственный технический университет (КарГТУ)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Западно-Казахстанский аграрно-технический университет имени Жангир хана (ЗКИТУ)', 'Государственный университет имени Шакарима г.Семей (ГУ им. Шакарима)', 'Кокшетауский государственный университет имени Ш. Уалиханова (КГУ им. Ш. Уалиханова)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Евразийский технический университет (ЕТУ)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Казахский национальный аграрный университет (КазНАУ)', 'Костанайский инженерно-экономический университет им.М.Дулатова (КИНЭУ им. Дулатова)', 'Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова (КГУТИ им. Ш. Есенова)', 'Казахский университет путей сообщения (КУПС)', 'Инновационный Евразийский университет (ИнЕУ)']"
5B030200,Всемирная история,Человек. Общество. Право,"['Казахский гуманитарно-юридический университет (Университет КАЗГЮУ)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский университет международных отношений и мировых языков имени Абылай хана (КазУМОиМЯ им. Абылай хана)']"
5B020200,Иностранный язык,Всемирная История,"['Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Университет «Нархоз» (Университет Нархоз)', 'Восточно-Казахстанский государственный университет имени С. Аманжолова (ВКГУ им. Аманжолова)']"
5B081000,Математика,Физика,"['Кызылординский государственный университет имени Коркыт Ата (КГУ им. Коркыт Ата)', 'Таразский государственный университет имени М.Дулати (ТарГУ им. Дулати)', 'Казахский национальный аграрный университет (КазНАУ)']"
5B050700,Математика,География,"['Каспийский государственный университет технологии и инжиниринга имени Ш. Есенова (КГУТИ им. Ш. Есенова)', 'Университет «Нархоз» (Университет Нархоз)', 'Алматы Менеджмент Университет (AlmaU)', 'Университет международного бизнеса (УМБ (UIB))', 'Евразийский национальный университет имени Л. Н. Гумилёва (ЕНУ им. Л. Н. Гумилева)', 'Казахский национальный университет имени аль-Фараби (КазНУ им. аль-Фараби)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахский гуманитарно-юридический университет (Университет КАЗГЮУ)', 'Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Университет имени Сулеймана Демиреля (SDU (Suleyman Demirel University, СДУ))', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Казахский агротехнический университет имени С. Сейфуллина (КазАТУ им. Сейфуллина)']"
5B070900,Математика,Физика,"['Восточно-Казахстанский государственный технический университет имени Д. Серикбаева (ВКГТУ)', 'Инновационный Евразийский университет (ИнЕУ)', 'Павлодарский государственный университет имени С. Торайгырова (ПГУ им. С. Торайгырова)', 'Карагандинский государственный индустриальный университет (КГИУ)', 'Жезказганский университет имени О. А. Байконурова (ЖезУ им. Байконурова)', 'Карагандинский государственный технический университет (КарГТУ)', 'Екибастузский инженерно-технический институт имени академика К.Сатпаева (ЭИТИ)', 'Рудненский индустриальный институт (РИИ)', 'Южно-Казахстанский государственный университет имени М. О. Ауэзова (ЮКГУ им. М. Ауезова)', 'Актюбинский государственный региональный университет им.К.Жубанова (АРГУ им. Жубанова)', 'Казахский национальный исследовательский технический университет имени К.И.Сатпаева\xa0 (Satbayev University)']"
